Time,ParameterName,ParameterValue
2020-11-01T00:00:00Z,TA_PT1H_AVG,6.5
2020-11-01T00:00:00Z,TA_PT1H_MAX,6.6
2020-11-01T00:00:00Z,TA_PT1H_MIN,6.3
2020-11-01T00:00:00Z,RH_PT1H_AVG,95.0
2020-11-01T00:00:00Z,WS_PT1H_AVG,3.3
2020-11-01T00:00:00Z,WS_PT1H_MAX,3.5
2020-11-01T00:00:00Z,WS_PT1H_MIN,3.0
2020-11-01T00:00:00Z,WD_PT1H_AVG,177.0
2020-11-01T00:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T00:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T00:00:00Z,PA_PT1H_AVG,1023.5
2020-11-01T00:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T01:00:00Z,TA_PT1H_AVG,6.4
2020-11-01T01:00:00Z,TA_PT1H_MAX,6.5
2020-11-01T01:00:00Z,TA_PT1H_MIN,6.2
2020-11-01T01:00:00Z,RH_PT1H_AVG,96.0
2020-11-01T01:00:00Z,WS_PT1H_AVG,3.2
2020-11-01T01:00:00Z,WS_PT1H_MAX,3.8
2020-11-01T01:00:00Z,WS_PT1H_MIN,2.6
2020-11-01T01:00:00Z,WD_PT1H_AVG,169.0
2020-11-01T01:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T01:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T01:00:00Z,PA_PT1H_AVG,1023.4
2020-11-01T01:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T02:00:00Z,TA_PT1H_AVG,6.5
2020-11-01T02:00:00Z,TA_PT1H_MAX,6.6
2020-11-01T02:00:00Z,TA_PT1H_MIN,6.3
2020-11-01T02:00:00Z,RH_PT1H_AVG,95.0
2020-11-01T02:00:00Z,WS_PT1H_AVG,3.0
2020-11-01T02:00:00Z,WS_PT1H_MAX,3.6
2020-11-01T02:00:00Z,WS_PT1H_MIN,2.6
2020-11-01T02:00:00Z,WD_PT1H_AVG,182.0
2020-11-01T02:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T02:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T02:00:00Z,PA_PT1H_AVG,1023.2
2020-11-01T02:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T03:00:00Z,TA_PT1H_AVG,6.6
2020-11-01T03:00:00Z,TA_PT1H_MAX,6.8
2020-11-01T03:00:00Z,TA_PT1H_MIN,6.5
2020-11-01T03:00:00Z,RH_PT1H_AVG,93.0
2020-11-01T03:00:00Z,WS_PT1H_AVG,3.1
2020-11-01T03:00:00Z,WS_PT1H_MAX,3.7
2020-11-01T03:00:00Z,WS_PT1H_MIN,2.5
2020-11-01T03:00:00Z,WD_PT1H_AVG,175.0
2020-11-01T03:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T03:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T03:00:00Z,PA_PT1H_AVG,1022.9
2020-11-01T03:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T04:00:00Z,TA_PT1H_AVG,6.8
2020-11-01T04:00:00Z,TA_PT1H_MAX,6.8
2020-11-01T04:00:00Z,TA_PT1H_MIN,6.7
2020-11-01T04:00:00Z,RH_PT1H_AVG,92.0
2020-11-01T04:00:00Z,WS_PT1H_AVG,3.3
2020-11-01T04:00:00Z,WS_PT1H_MAX,3.6
2020-11-01T04:00:00Z,WS_PT1H_MIN,2.9
2020-11-01T04:00:00Z,WD_PT1H_AVG,172.0
2020-11-01T04:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T04:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T04:00:00Z,PA_PT1H_AVG,1022.8
2020-11-01T04:00:00Z,WAWA_PT1H_RANK,NaN
2020-11-01T05:00:00Z,TA_PT1H_AVG,6.7
2020-11-01T05:00:00Z,TA_PT1H_MAX,6.8
2020-11-01T05:00:00Z,TA_PT1H_MIN,6.6
2020-11-01T05:00:00Z,RH_PT1H_AVG,91.0
2020-11-01T05:00:00Z,WS_PT1H_AVG,3.3
2020-11-01T05:00:00Z,WS_PT1H_MAX,3.7
2020-11-01T05:00:00Z,WS_PT1H_MIN,3.0
2020-11-01T05:00:00Z,WD_PT1H_AVG,166.0
2020-11-01T05:00:00Z,PRA_PT1H_ACC,NaN
2020-11-01T05:00:00Z,PRI_PT1H_MAX,NaN
2020-11-01T05:00:00Z,PA_PT1H_AVG,1022.7
2020-11-01T05:00:00Z,WAWA_PT1H_RANK,NaN
